ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,RAW_MATERIAL_COST,OPERATING_EXPENSES,PURCHASE_CATEGORY
10115,46,124.43,5,5723.78,04-04-2018,1139,Shipped,Trucks and Buses,118,S12_4473,Classic Legends Inc.,NYC,USA,Hernandez,Maria,Medium,3310.91,1146.55,Logistics
10127,24,106.65,11,2559.6,03-06-2018,1080,Shipped,Trucks and Buses,118,S12_4473,Muscle Machine Inc,NYC,USA,Young,Jeff,Small,4475.36,1927.78,Utilities
10141,21,101.91,5,2140.11,01-08-2018,1022,Shipped,Trucks and Buses,118,S12_4473,Suominen Souveniers,Espoo,Finland,Suominen,Kalle,Small,3857.66,2324.74,Marketing
10151,24,138.65,3,3327.6,21-09-2018,972,Shipped,Trucks and Buses,118,S12_4473,"Oulu Toy Supplies, Inc.",Oulu,Finland,Koskitalo,Pirkko,Medium,2840.06,2035.31,Raw Materials
10165,48,142.2,12,6825.6,22-10-2018,942,Shipped,Trucks and Buses,118,S12_4473,"Dragon Souveniers, Ltd.",Singapore,Singapore,Natividad,Eric,Medium,2980.98,1135.2,Salaries
10175,26,136.28,1,3543.28,06-11-2018,928,Shipped,Trucks and Buses,118,S12_4473,"Stylish Desk Decors, Co.",London,UK,Brown,Ann,Medium,1997.47,1680.71,Utilities
10184,37,122.06,6,4516.22,14-11-2018,921,Shipped,Trucks and Buses,118,S12_4473,"Iberia Gift Imports, Corp.",Sevilla,Spain,Roel,Jose Pedro,Medium,2981.49,853.43,Raw Materials
10195,49,131.54,6,6445.46,25-11-2018,911,Shipped,Trucks and Buses,118,S12_4473,Mini Classics,White Plains,USA,Frick,Steve,Medium,2711.34,1786.2,Utilities
10207,34,99.54,7,3384.36,09-12-2018,898,Shipped,Trucks and Buses,118,S12_4473,Diecast Collectables,Boston,USA,Franco,Valarie,Medium,3322.72,1725.3,Raw Materials
10219,48,101.91,2,4891.68,10-02-2019,836,Shipped,Trucks and Buses,118,S12_4473,Signal Collectibles Ltd.,Brisbane,USA,Taylor,Sue,Medium,2172.77,565.09,Utilities
10229,36,125.61,1,4521.96,11-03-2019,808,Shipped,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,3519.35,919.11,Marketing
10246,46,110.21,5,5069.66,05-05-2019,754,Shipped,Trucks and Buses,118,S12_4473,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,4532.74,1358.43,Salaries
10259,46,142.2,4,6541.2,15-06-2019,714,Shipped,Trucks and Buses,118,S12_4473,Handji Gifts& Co,Singapore,Singapore,Victorino,Wendy,Medium,2891.24,1349.57,Raw Materials
10271,31,97.17,5,3012.27,20-07-2019,680,Shipped,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,3401.71,895.26,Salaries
10281,41,127.98,1,5247.18,19-08-2019,651,Shipped,Trucks and Buses,118,S12_4473,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Medium,3690.14,1694.49,Logistics
10292,21,105.47,8,2214.87,08-09-2019,632,Shipped,Trucks and Buses,118,S12_4473,Land of Toys Inc.,NYC,USA,Yu,Kwai,Small,2598.78,1625.74,Utilities
10305,38,125.61,5,4773.18,13-10-2019,598,Shipped,Trucks and Buses,118,S12_4473,Marta's Replicas Co.,Cambridge,USA,Hernandez,Marta,Medium,3224.09,1402.87,Salaries
10314,45,137.46,14,6185.7,22-10-2019,590,Shipped,Trucks and Buses,118,S12_4473,Heintze Collectables,Aaarhus,Denmark,Ibsen,Palle,Medium,3012.59,1122.1,Salaries
10324,26,58.38,7,1517.88,05-11-2019,577,Shipped,Trucks and Buses,118,S12_4473,Vitachrome Inc.,NYC,USA,Frick,Michael,Small,3097.68,2024.35,Raw Materials
10336,38,167.7,3,6372.6,20-11-2019,563,Shipped,Trucks and Buses,118,S12_4473,"La Corne D'abondance, Co.",Paris,France,Bertrand,Marie,Medium,2226.99,2327.7,Logistics
10349,48,109.02,9,5232.96,01-12-2019,553,Shipped,Trucks and Buses,118,S12_4473,Muscle Machine Inc,NYC,USA,Young,Jeff,Medium,3024.51,1258.22,Salaries
10358,42,64.16,9,2694.72,10-12-2019,545,Shipped,Trucks and Buses,118,S12_4473,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Small,3498,1193.92,Logistics
10371,49,35.71,4,1749.79,23-01-2020,502,Shipped,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Small,4451.14,1745.6,Salaries
10382,32,66.58,13,2130.56,17-02-2020,478,Shipped,Trucks and Buses,118,S12_4473,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Small,3959.27,1320.99,Marketing
10412,54,110.21,5,5951.34,03-05-2020,403,Shipped,Trucks and Buses,118,S12_4473,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,5153.18,1430.3,Salaries
10425,33,142.2,4,4692.6,31-05-2020,376,In Process,Trucks and Buses,118,S12_4473,La Rochelle Gifts,Nantes,France,Labrune,Janine,Medium,2232.65,1869.83,Raw Materials
10108,36,103.64,3,3731.04,03-03-2018,1197,Shipped,Classic Cars,115,S12_4675,Cruz & Sons Co.,Makati City,Philippines,Cruz,Arnold,Medium,3872.32,545.32,Marketing
10122,20,107.1,7,2142,08-05-2018,1132,Shipped,Classic Cars,115,S12_4675,Marseille Mini Autos,Marseille,France,Lebihan,Laurence,Small,3183.34,2159.15,Marketing
10135,29,97.89,4,2838.81,02-07-2018,1078,Shipped,Classic Cars,115,S12_4675,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Small,5189.8,1536.34,Logistics
10147,33,97.89,4,3230.37,05-09-2018,1014,Shipped,Classic Cars,115,S12_4675,Collectables For Less Inc.,Brickhaven,USA,Nelson,Allen,Medium,2191.7,1294.25,Marketing
10170,41,107.1,3,4391.1,04-11-2018,955,Shipped,Classic Cars,115,S12_4675,Mini Auto Werke,Graz,Austria,Mendel,Roland,Medium,2160.28,1455.38,Utilities
10181,36,124.37,11,4477.32,12-11-2018,948,Shipped,Classic Cars,115,S12_4675,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Medium,2400.61,1481.21,Raw Materials
10192,27,131.28,16,3544.56,20-11-2018,941,Shipped,Classic Cars,115,S12_4675,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Medium,876.1,634.4,Raw Materials
10203,47,110.55,5,5195.85,02-12-2018,930,Shipped,Classic Cars,115,S12_4675,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,2474.24,2247.47,Raw Materials
10212,33,126.68,15,4180.44,16-01-2019,886,Shipped,Classic Cars,115,S12_4675,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,2240.87,1520.66,Logistics
10225,21,127.83,6,2684.43,22-02-2019,850,Shipped,Classic Cars,115,S12_4675,"Vida Sport, Ltd",Gensve,Switzerland,Holz,Michael,Small,3150.39,1721.5,Salaries
10239,21,93.28,5,1958.88,12-04-2019,802,Shipped,Classic Cars,115,S12_4675,"Oulu Toy Supplies, Inc.",Oulu,Finland,Koskitalo,Pirkko,Small,3341.76,1975.77,Utilities
10253,41,119.77,10,4910.57,01-06-2019,753,Cancelled,Classic Cars,115,S12_4675,"UK Collectables, Ltd.",Liverpool,UK,Devon,Elizabeth,Medium,4876.17,989.42,Logistics
10266,40,111.71,11,4468.4,06-07-2019,719,Shipped,Classic Cars,115,S12_4675,L'ordine Souveniers,Reggio Emilia,Italy,Moroni,Maurizio,Medium,3950.42,1736.74,Marketing
10277,28,111.71,1,3127.88,04-08-2019,691,Shipped,Classic Cars,115,S12_4675,"Dragon Souveniers, Ltd.",Singapore,Singapore,Natividad,Eric,Medium,2423.1,1366.18,Utilities
10287,23,116.31,9,2675.13,30-08-2019,666,Shipped,Classic Cars,115,S12_4675,"Vida Sport, Ltd",Gensve,Switzerland,Holz,Michael,Small,2101.59,1923.39,Utilities
10300,23,122.07,2,2807.61,04-10-2018,997,Shipped,Classic Cars,115,S12_4675,"Blauer See Auto, Co.",Frankfurt,Germany,Keitel,Roland,Small,3491.92,436.39,Logistics
10310,25,100.19,7,2504.75,16-10-2019,621,Shipped,Classic Cars,115,S12_4675,"Toms Spezialitten, Ltd",Koln,Germany,Pfalzheim,Henriette,Small,1679.77,1450.45,Raw Materials
10321,24,124.37,15,2984.88,04-11-2019,603,Shipped,Classic Cars,115,S12_4675,FunGiftIdeas.com,New Bedford,USA,Benitez,Violeta,Small,4831.46,1198.59,Utilities
10329,39,64.74,15,2524.86,15-11-2019,593,Shipped,Classic Cars,115,S12_4675,Land of Toys Inc.,NYC,USA,Yu,Kwai,Small,4179.44,1716.13,Salaries
10341,55,75.2,7,4136,24-11-2019,585,Shipped,Classic Cars,115,S12_4675,Salzburg Collectables,Salzburg,Austria,Pipps,Georg,Medium,2530.82,1735.02,Marketing
10363,46,88.45,6,4068.7,06-01-2020,543,Shipped,Classic Cars,115,S12_4675,Suominen Souveniers,Espoo,Finland,Suominen,Kalle,Medium,1286.87,1146.19,Utilities
10377,50,103.64,1,5182,09-02-2020,510,Shipped,Classic Cars,115,S12_4675,"Toys of Finland, Co.",Helsinki,Finland,Karttunen,Matti,Medium,4353.87,1143.91,Marketing
10389,47,111.57,8,5243.79,03-03-2020,488,Shipped,Classic Cars,115,S12_4675,Scandinavian Gift Ideas,Boras,Sweden,Larsson,Maria,Medium,2885.46,1444.67,Utilities
10405,97,93.28,5,9048.16,14-04-2020,447,Shipped,Classic Cars,115,S12_4675,Mini Caravy,Strasbourg,France,Citeaux,Frederique,Large,4237.82,1051.68,Marketing
10419,32,119.77,10,3832.64,17-05-2020,415,Shipped,Classic Cars,115,S12_4675,Salzburg Collectables,Salzburg,Austria,Pipps,Georg,Medium,1405.57,1920.99,Salaries
10103,35,112,10,3920,29-01-2018,1255,Shipped,Trucks and Buses,116,S18_1097,Baane Mini Imports,Stavern,Norway,Bergulfsen,Jonas,Medium,2400.62,1315.4,Salaries
10113,49,100.34,4,4916.66,26-03-2018,1200,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,3005.24,200,Raw Materials
10126,38,101.5,10,3857,28-05-2018,1138,Shipped,Trucks and Buses,116,S18_1097,"Corrida Auto Replicas, Ltd",Madrid,Spain,Sommer,Mart¡n,Medium,3046.98,1312.59,Logistics
10140,32,130.67,10,4181.44,24-07-2018,1082,Shipped,Trucks and Buses,116,S18_1097,Technics Stores Inc.,Burlingame,USA,Hirano,Juri,Medium,2549.93,980.73,Raw Materials
10150,34,136.5,7,4641,19-09-2018,1026,Shipped,Trucks and Buses,116,S18_1097,"Dragon Souveniers, Ltd.",Singapore,Singapore,Natividad,Eric,Medium,3622.85,684.36,Salaries
10164,36,99.17,8,3570.12,21-10-2018,995,Resolved,Trucks and Buses,116,S18_1097,Mini Auto Werke,Graz,Austria,Mendel,Roland,Medium,1932.38,881.29,Salaries
10174,48,93.34,3,4480.32,06-11-2018,980,Shipped,Trucks and Buses,116,S18_1097,"Australian Gift Network, Co",South Brisbane,Australia,Calaghan,Tony,Medium,2857.62,1554.7,Logistics
10183,21,96.84,7,2033.64,13-11-2018,974,Shipped,Trucks and Buses,116,S18_1097,"Classic Gift Ideas, Inc",Philadelphia,USA,Cervantes,Francisca,Small,3120.3,2164.32,Salaries
10194,21,93.34,10,1960.14,25-11-2018,963,Shipped,Trucks and Buses,116,S18_1097,"Saveley & Henriot, Co.",Lyon,France,Saveley,Mary,Small,3514.44,1656.59,Logistics
10206,34,116.67,5,3966.78,05-12-2018,954,Shipped,Trucks and Buses,116,S18_1097,Canadian Gift Exchange Network,Vancouver,Canada,Tannamuri,Yoshi,Medium,3711.61,1196.75,Salaries
10215,46,112,2,5152,29-01-2019,900,Shipped,Trucks and Buses,116,S18_1097,West Coast Collectables Co.,Burbank,USA,Thompson,Steve,Medium,1875.36,1727.95,Marketing
10228,32,105,1,3360,10-03-2019,861,Shipped,Trucks and Buses,116,S18_1097,Cambridge Collectables Co.,Cambridge,USA,Tseng,Kyung,Medium,1465.89,1270.45,Logistics
10245,29,119,8,3451,04-05-2019,807,Shipped,Trucks and Buses,116,S18_1097,Super Scale Inc.,New Haven,USA,Murphy,Leslie,Medium,4277.68,1152.7,Marketing
10258,41,133,5,5453,15-06-2019,766,Shipped,Trucks and Buses,116,S18_1097,"Tokyo Collectables, Ltd",Minato-ku,Japan,Shimamura,Akiko,Medium,3332.31,922.82,Salaries
10270,43,96.84,8,4164.12,19-07-2019,733,Shipped,Trucks and Buses,116,S18_1097,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Medium,2251.51,624.09,Salaries
10280,24,116.67,1,2800.08,17-08-2019,705,Shipped,Trucks and Buses,116,S18_1097,Amica Models & Co.,Torino,Italy,Accorti,Paolo,Small,4551.15,1305.04,Salaries
10291,41,114.34,10,4687.94,08-09-2019,684,Shipped,Trucks and Buses,116,S18_1097,Scandinavian Gift Ideas,Boras,Sweden,Larsson,Maria,Medium,3115.67,1579.03,Raw Materials
10304,46,98,5,4508,11-10-2019,652,Shipped,Trucks and Buses,116,S18_1097,Auto Assoc. & Cie.,Versailles,France,Tonini,Daniel,Medium,4179.3,1451.69,Marketing
10312,32,130.67,2,4181.44,21-10-2019,643,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,3067.52,1292.02,Logistics
10322,22,102.32,10,2251.04,04-11-2019,630,Shipped,Trucks and Buses,116,S18_1097,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Small,5060.75,1027.13,Salaries
10347,42,49.6,5,2083.2,29-11-2019,606,Shipped,Trucks and Buses,116,S18_1097,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Small,4755.34,1804.12,Utilities
10357,39,98,1,3822,10-12-2019,596,Shipped,Trucks and Buses,116,S18_1097,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,2751.04,841.43,Utilities
10370,27,144.87,1,3911.49,20-01-2020,556,Shipped,Trucks and Buses,116,S18_1097,"Anna's Decorations, Ltd",North Sydney,Australia,O'Hara,Anna,Medium,3971.57,1888.01,Utilities
10391,29,85.1,10,2467.9,09-03-2020,508,Shipped,Trucks and Buses,116,S18_1097,"Anna's Decorations, Ltd",North Sydney,Australia,O'Hara,Anna,Small,3645.38,998.89,Marketing
10411,27,119,8,3213,01-05-2020,456,Shipped,Trucks and Buses,116,S18_1097,Quebec Home Shopping Network,Montreal,Canada,Fresnisre,Jean,Medium,4368.63,1123.78,Utilities
10424,54,133,5,7182,31-05-2020,427,In Process,Trucks and Buses,116,S18_1097,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Large,2035.08,766.61,Raw Materials
10109,26,168.43,4,4379.18,10-03-2018,1241,Shipped,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,Philadelphia,USA,Hernandez,Rosa,Medium,3686.05,1249.3,Raw Materials
10122,34,147.2,2,5004.8,08-05-2018,1183,Shipped,Classic Cars,141,S18_1129,Marseille Mini Autos,Marseille,France,Lebihan,Laurence,Medium,4058.42,1987.66,Raw Materials
10136,25,145.79,2,3644.75,04-07-2018,1127,Shipped,Classic Cars,141,S18_1129,Alpha Cognac,Toulouse,France,Roulet,Annette,Medium,1241.26,1757.81,Raw Materials
10148,23,117.48,13,2702.04,11-09-2018,1059,Shipped,Classic Cars,141,S18_1129,"Anna's Decorations, Ltd",North Sydney,Australia,O'Hara,Anna,Small,1816.74,1989.21,Marketing
10161,28,134.46,12,3764.88,17-10-2018,1024,Shipped,Classic Cars,141,S18_1129,Heintze Collectables,Aaarhus,Denmark,Ibsen,Palle,Medium,960.77,1761.07,Marketing
10171,35,128.8,2,4508,05-11-2018,1006,Shipped,Classic Cars,141,S18_1129,Quebec Home Shopping Network,Montreal,Canada,Fresnisre,Jean,Medium,2730.59,948.17,Salaries
10181,44,123.14,6,5418.16,12-11-2018,1000,Shipped,Classic Cars,141,S18_1129,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Medium,3717.54,1334.61,Salaries
10192,22,150.03,11,3300.66,20-11-2018,993,Shipped,Classic Cars,141,S18_1129,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Medium,4502.36,1109.9,Raw Materials
10204,42,147.2,17,6182.4,02-12-2018,982,Shipped,Classic Cars,141,S18_1129,Muscle Machine Inc,NYC,USA,Young,Jeff,Medium,3074.09,2165.29,Salaries
10212,29,144.37,10,4186.73,16-01-2019,938,Shipped,Classic Cars,141,S18_1129,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,4628.62,901.61,Marketing
10225,32,141.54,1,4529.28,22-02-2019,902,Shipped,Classic Cars,141,S18_1129,"Vida Sport, Ltd",Gensve,Switzerland,Holz,Michael,Medium,1619.9,1946.85,Marketing
10240,41,137.29,3,5628.89,13-04-2019,853,Shipped,Classic Cars,141,S18_1129,Osaka Souveniers Co.,Osaka,Japan,Kentary,Mory,Medium,1296.62,1946.48,Salaries
10253,26,117.48,5,3054.48,01-06-2019,805,Cancelled,Classic Cars,141,S18_1129,"UK Collectables, Ltd.",Liverpool,UK,Devon,Elizabeth,Medium,2944.45,2414.81,Marketing
10266,21,120.31,6,2526.51,06-07-2019,771,Shipped,Classic Cars,141,S18_1129,L'ordine Souveniers,Reggio Emilia,Italy,Moroni,Maurizio,Small,3384.07,1295.16,Utilities
10278,34,137.29,6,4667.86,06-08-2019,741,Shipped,Classic Cars,141,S18_1129,Signal Gift Stores,Las Vegas,USA,King,Sue,Medium,2967.31,1856.16,Salaries
10287,41,158.52,4,6499.32,30-08-2019,718,Shipped,Classic Cars,141,S18_1129,"Vida Sport, Ltd",Gensve,Switzerland,Holz,Michael,Medium,932.56,2640.83,Utilities
10301,37,159.94,8,5917.78,05-10-2018,1048,Shipped,Classic Cars,141,S18_1129,"Norway Gifts By Mail, Co.",Oslo,Norway,Klaeboe,Jan,Medium,2910.88,1191.18,Raw Materials
10310,37,168.43,2,6231.91,16-10-2019,673,Shipped,Classic Cars,141,S18_1129,"Toms Spezialitten, Ltd",Koln,Germany,Pfalzheim,Henriette,Medium,1695.53,732.48,Logistics
10321,41,141.54,10,5803.14,04-11-2019,655,Shipped,Classic Cars,141,S18_1129,FunGiftIdeas.com,New Bedford,USA,Benitez,Violeta,Medium,3669.67,559.99,Marketing
10331,46,139.87,6,6434.02,17-11-2019,643,Shipped,Classic Cars,141,S18_1129,Motor Mint Distributors Inc.,Philadelphia,USA,Hernandez,Rosa,Medium,3366.6,1856.36,Utilities
10342,40,161.36,2,6454.4,24-11-2019,637,Shipped,Classic Cars,141,S18_1129,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Medium,2060.12,558.42,Marketing
10356,43,97.6,8,4196.8,09-12-2019,623,Shipped,Classic Cars,141,S18_1129,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Medium,2486.13,1313.84,Marketing
10365,30,87.06,1,2611.8,07-01-2020,595,Shipped,Classic Cars,141,S18_1129,Mini Creations Ltd.,New Bedford,USA,Tam,Wing C,Small,1940.79,1718.66,Salaries
10377,35,168.43,2,5895.05,09-02-2020,563,Shipped,Classic Cars,141,S18_1129,"Toys of Finland, Co.",Helsinki,Finland,Karttunen,Matti,Medium,2937.32,1592.59,Raw Materials
10390,36,93.77,14,3375.72,04-03-2020,540,Shipped,Classic Cars,141,S18_1129,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,3955.14,1712.72,Marketing
10406,61,137.29,3,8374.69,15-04-2020,499,Disputed,Classic Cars,141,S18_1129,Danish Wholesale Imports,Kobenhavn,Denmark,Petersen,Jytte,Large,2014.27,1611.14,Marketing
10419,38,117.48,5,4464.24,17-05-2020,468,Shipped,Classic Cars,141,S18_1129,Salzburg Collectables,Salzburg,Austria,Pipps,Georg,Medium,3504.05,2139.43,Utilities
10102,39,123.29,2,4808.31,10-01-2018,1327,Shipped,Vintage Cars,102,S18_1342,Vitachrome Inc.,NYC,USA,Frick,Michael,Medium,2469.74,1023.84,Logistics
10125,32,101.71,1,3254.72,21-05-2018,1197,Shipped,Vintage Cars,102,S18_1342,"Australian Collectors, Co.",Melbourne,Australia,Ferguson,Peter,Medium,2207.13,1161.5,Salaries
10139,31,102.74,7,3184.94,16-07-2018,1142,Shipped,Vintage Cars,102,S18_1342,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Medium,2892.97,1113.67,Raw Materials
10149,50,118.15,4,5907.5,12-09-2018,1085,Shipped,Vintage Cars,102,S18_1342,Signal Collectibles Ltd.,Brisbane,USA,Taylor,Sue,Medium,1964.76,1915.1,Raw Materials
10173,43,117.12,6,5036.16,05-11-2018,1032,Shipped,Vintage Cars,102,S18_1342,Rovelli Gifts,Bergamo,Italy,Rovelli,Giovanni,Medium,2446.35,1950.2,Logistics
10182,25,87.33,3,2183.25,12-11-2018,1026,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Small,1802.12,1725.61,Raw Materials
10193,28,110.96,7,3106.88,21-11-2018,1018,Shipped,Vintage Cars,102,S18_1342,"Australian Collectables, Ltd",Glen Waverly,Australia,Connery,Sean,Medium,4964.73,2091.75,Marketing
10205,36,103.77,2,3735.72,03-12-2018,1007,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,3035.26,910.98,Logistics
10215,27,89.38,10,2413.26,29-01-2019,951,Shipped,Vintage Cars,102,S18_1342,West Coast Collectables Co.,Burbank,USA,Thompson,Steve,Small,2300.27,2333.61,Raw Materials
10227,25,118.15,3,2953.75,02-03-2019,920,Shipped,Vintage Cars,102,S18_1342,"Saveley & Henriot, Co.",Lyon,France,Saveley,Mary,Small,3213.98,2261.62,Salaries
10244,40,117.12,7,4684.8,29-04-2019,863,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,2887.67,1867.81,Marketing
10256,34,95.55,2,3248.7,08-06-2019,824,Shipped,Vintage Cars,102,S18_1342,Danish Wholesale Imports,Kobenhavn,Denmark,Petersen,Jytte,Medium,2779.03,2390.9,Salaries
10280,50,104.79,9,5239.5,17-08-2019,755,Shipped,Vintage Cars,102,S18_1342,Amica Models & Co.,Torino,Italy,Accorti,Paolo,Medium,3614.17,671.69,Logistics
10289,38,120.21,2,4567.98,03-09-2019,739,Shipped,Vintage Cars,102,S18_1342,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Medium,3757.51,1237.78,Utilities
10304,37,95.55,13,3535.35,11-10-2019,702,Shipped,Vintage Cars,102,S18_1342,Auto Assoc. & Cie.,Versailles,France,Tonini,Daniel,Medium,2469.5,1132.35,Salaries
10312,43,89.38,10,3843.34,21-10-2019,693,Shipped,Vintage Cars,102,S18_1342,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Medium,2424.18,1860.74,Marketing
10322,43,86.3,14,3710.9,04-11-2019,680,Shipped,Vintage Cars,102,S18_1342,Online Diecast Creations Co.,Nashua,USA,Young,Valarie,Medium,2724.95,974.93,Salaries
10332,46,95.13,15,4375.98,17-11-2019,668,Shipped,Vintage Cars,102,S18_1342,"AV Stores, Co.",Manchester,UK,Ashworth,Victoria,Medium,698.08,1878.75,Salaries
10346,42,36.11,3,1516.62,29-11-2019,657,Shipped,Vintage Cars,102,S18_1342,Signal Gift Stores,Las Vegas,USA,King,Sue,Small,1484.81,2185.27,Logistics
10356,50,50.18,9,2509,09-12-2019,648,Shipped,Vintage Cars,102,S18_1342,Lyon Souveniers,Paris,France,Da Cunha,Daniel,Small,4366.87,1847.6,Raw Materials
10369,44,210.01,8,9240.44,20-01-2020,607,Shipped,Vintage Cars,102,S18_1342,Collectables For Less Inc.,Brickhaven,USA,Nelson,Allen,Large,4644.97,1641.88,Raw Materials
10380,27,93.16,13,2515.32,16-02-2020,581,Shipped,Vintage Cars,102,S18_1342,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Small,2750.96,1006.06,Raw Materials
10391,35,158.54,2,5548.9,09-03-2020,560,Shipped,Vintage Cars,102,S18_1342,"Anna's Decorations, Ltd",North Sydney,Australia,O'Hara,Anna,Medium,3576.56,1076.57,Raw Materials
10422,51,95.55,2,4873.05,30-05-2020,479,In Process,Vintage Cars,102,S18_1342,Diecast Classics Inc.,Allentown,USA,Yu,Kyung,Medium,3311.25,2124.81,Utilities
10102,41,50.14,1,2055.74,10-01-2018,1351,Shipped,Vintage Cars,53,S18_1367,Vitachrome Inc.,NYC,USA,Frick,Michael,Small,6078.88,1889.67,Utilities
10126,42,54.99,17,2309.58,28-05-2018,1214,Shipped,Vintage Cars,53,S18_1367,"Corrida Auto Replicas, Ltd",Madrid,Spain,Sommer,Mart¡n,Small,4119.57,1480.49,Logistics
10139,49,43.13,6,2113.37,16-07-2018,1166,Shipped,Vintage Cars,53,S18_1367,Souveniers And Things Co.,Chatswood,Australia,Huxley,Adrian,Small,2872.08,1291.05,Logistics
10149,30,58.22,3,1746.6,12-09-2018,1109,Shipped,Vintage Cars,53,S18_1367,Signal Collectibles Ltd.,Brisbane,USA,Taylor,Sue,Small,2044.46,487.1,Utilities
10173,48,44.21,5,2122.08,05-11-2018,1056,Shipped,Vintage Cars,53,S18_1367,Rovelli Gifts,Bergamo,Italy,Rovelli,Giovanni,Small,1393.55,964.57,Marketing
10182,32,54.45,2,1742.4,12-11-2018,1050,Shipped,Vintage Cars,53,S18_1367,Mini Gifts Distributors Ltd.,San Rafael,USA,Nelson,Valarie,Small,3203.46,2455.71,Raw Materials
10193,46,53.37,6,2455.02,21-11-2018,1042,Shipped,Vintage Cars,53,S18_1367,"Australian Collectables, Ltd",Glen Waverly,Australia,Connery,Sean,Small,2243.65,859.77,Salaries
10205,48,63.61,1,3053.28,03-12-2018,1031,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Medium,1577.75,1594.74,Marketing
10215,33,43.13,9,1423.29,29-01-2019,975,Shipped,Vintage Cars,53,S18_1367,West Coast Collectables Co.,Burbank,USA,Thompson,Steve,Small,2353.43,2003.72,Utilities
10227,31,48.52,2,1504.12,02-03-2019,944,Shipped,Vintage Cars,53,S18_1367,"Saveley & Henriot, Co.",Lyon,France,Saveley,Mary,Small,1918.45,872.54,Raw Materials
10244,20,58.22,6,1164.4,29-04-2019,887,Shipped,Vintage Cars,53,S18_1367,Euro Shopping Channel,Madrid,Spain,Freyre,Diego,Small,4687.14,1592.36,Logistics
10256,29,51.75,1,1500.75,08-06-2019,848,Shipped,Vintage Cars,53,S18_1367,Danish Wholesale Imports,Kobenhavn,Denmark,Petersen,Jytte,Small,3881.64,1968.96,Logistics
10280,27,57.68,8,1557.36,17-08-2019,779,Shipped,Vintage Cars,53,S18_1367,Amica Models & Co.,Torino,Italy,Accorti,Paolo,Small,2992.03,1506.25,Marketing
10289,24,56.07,1,1345.68,03-09-2019,763,Shipped,Vintage Cars,53,S18_1367,Herkku Gifts,Bergen,Norway,Oeztan,Veysel,Small,4479.94,2934.2,Marketing
10304,37,48.52,12,1795.24,11-10-2019,726,Shipped,Vintage Cars,53,S18_1367,Auto Assoc. & Cie.,Versailles,France,Tonini,Daniel,Small,3077.37,665.7,Raw Materials
